TextID,EN,ES,DE,FR,AlarmCode,AlarmSeverity,AlarmVar
Dryer.Alarm.CheckMediaExit2,Not detected exit media L2,Pieza no detectada a la salida L2,NoValue,NoValue,80002,1,gThicknessCtrl.Alarms.CheckMedia[2]
,,,,,,,
,,,,,,,
Dryer.ArcLampSN,Serial Number,Numer Serie,NoValue,NoValue,,,
Dryer.ArcLampPin,Pin,Pin,NoValue,NoValue,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Alarms.Current,Current Alarms,Alarmas Actuales,NoValue,NoValue,,,
Alarms.History,Alarms History,Historico Alarmas,NoValue,NoValue,,,
Alarms.Code,Code,Codigo,NoValue,NoValue,,,
Alarms.Description,Description,Descripcion,NoValue,NoValue,,,
Alarms.Timestamp,Date and hour,Fecha y hora,NoValue,NoValue,,,
Alarms.Severity,Severity,Gravedad,NoValue,NoValue,,,
Alarms.State,State,Estado,NoValue,NoValue,,,
Alarms.Mute,Mute,Silenciar,NoValue,NoValue,,,
Alarms.Reset,Reset,Resetear,NoValue,NoValue,,,
Alarms.CriticalType,Type,Tipo,NoValue,NoValue,,,
Alarms.Page,Alarms,Alarmas,NoValue,NoValue,,,
Inputs.MountedMedia,Mounted Media,Sustrato Montado,NoValue,NoValue,,,
Inputs.Reset,Reset,Reset,NoValue,NoValue,,,
Inputs.FanBreak80,Fan Breakers 80%,Protecc. ventiladores 80%,NoValue,NoValue,,,
Inputs.ArcLampRef,ArcLamp Ref Sensor,Sensor ArcLamp,NoValue,NoValue,,,
Inputs.24VFansPsuOk,24V Fans PSU OK,Fuente 24V ventiladores OK,NoValue,NoValue,,,
Inputs.MachConf1,Machine Configuration 1,Configuracion maquina 1,NoValue,NoValue,,,
Inputs.MachConf2,Machine Configuration 2,Configuracion maquina 2,NoValue,NoValue,,,
Inputs.MachConf3,Machine Configuration 3,Configuracion maquina 3,NoValue,NoValue,,,
Inputs.MachConf4,Machine Configuration 4,Configuracion maquina 4,NoValue,NoValue,,,
Inputs.MachConf5,Machine Configuration 5,Configuracion maquina 5,NoValue,NoValue,,,
Inputs.MachConf6,Machine Configuration 6,Configuracion maquina 6,NoValue,NoValue,,,
Inputs.MachConf7,Machine Configuration 7,Configuracion maquina 7,NoValue,NoValue,,,
Inputs.MachConf8,Machine Configuration 8,Configuracion maquina 8,NoValue,NoValue,,,
Inputs.MachConf9,Machine Configuration 9,Configuracion maquina 9,NoValue,NoValue,,,
Inputs.Stop,Stop,Stop,NoValue,NoValue,,,
Inputs.FanBreakOk,Fan Breakers Ok,Protecc. ventiladores Ok,NoValue,NoValue,,,
Inputs.SafetyKey,Safety Key,Llave seguridad,NoValue,NoValue,,,
Inputs.ArcLampCorrLaser,ArcLamp Correction Laser,ArcLamp Laser Correccion,NoValue,NoValue,,,
Inputs.24VMainPsuOk,24V Main PSU OK,Fuente principal 24V OK,NoValue,NoValue,,,
Inputs.NirReady,NIR Ready,NIR Listo,NoValue,NoValue,,,
Inputs.NirError,NIR Error,NIR Error,NoValue,NoValue,,,
Inputs.NirProcess,NIR Process,NIR En Proceso,NoValue,NoValue,,,
Inputs.ArclLampReady,ArcLamp Ready,ArcLamp Listo,NoValue,NoValue,,,
Inputs.ArclLampFault,ArcLamp Fault,ArcLamp Error,NoValue,NoValue,,,
Inputs.DetectionMediaL1,Media L1. Front,Sustrato. Delantero,NoValue,NoValue,,,
Inputs.DetectionMediaL2,Media L2. Rear,Sustrato. Trasero,NoValue,NoValue,,,
Inputs.LockNir1Fan1,Lock Nir1 Fan1,Bloqueo Nir1 Vent1,NoValue,NoValue,,,
Inputs.LockNir1Fan2,Lock Nir1 Fan2,Bloqueo Nir1 Vent2,NoValue,NoValue,,,
Inputs.LockNir1Fan3,Lock Nir1 Fan3,Bloqueo Nir1 Vent3,NoValue,NoValue,,,
Inputs.LockNir1Fan4,Lock Nir1 Fan4,Bloqueo Nir1 Vent4,NoValue,NoValue,,,
Inputs.LockNir2Fan1,Lock Nir2 Fan1,Bloqueo Nir2 Vent1,NoValue,NoValue,,,
Inputs.LockNir2Fan2,Lock Nir2 Fan2,Bloqueo Nir2 Vent2,NoValue,NoValue,,,
Inputs.LockNir2Fan3,Lock Nir2 Fan3,Bloqueo Nir2 Vent3,NoValue,NoValue,,,
Inputs.LockNir2Fan4,Lock Nir2 Fan4,Bloqueo Nir2 Vent4,NoValue,NoValue,,,
Inputs.JamNir1Cross,Jam Nir1 Cross,Jamp Nir1 Frontal,NoValue,NoValue,,,
Inputs.JamNir1Front,Jam Nir1 Front,Jamp Nir1 Delante,NoValue,NoValue,,,
Inputs.JamNir1Rear,Jam Nir1 Rear,Jamp Nir1 Detras,NoValue,NoValue,,,
Inputs.JamNir2Cross,Jam Nir2 Cross,Jamp Nir2 Frontal,NoValue,NoValue,,,
Inputs.JamNir2Front,Jam Nir2 Front,Jamp Nir2 Delante,NoValue,NoValue,,,
Inputs.JamNir2Rear,Jam Nir2 Rear,Jamp Nir2 Detras,NoValue,NoValue,,,
Inputs.ArcLampJam,Jam ArcLamp,Jam ArcLamp,NoValue,NoValue,,,
Outputs.NirOn,NIR ON,NIR ON,NoValue,NoValue,,,
Outputs.NirProcess,NIR Process,NIR Process,NoValue,NoValue,,,
Outputs.NirWebBreak,NIR Web break,NIR Web break,NoValue,NoValue,,,
Outpus.ArcLampImpression,ArcLamp Impression,ArcLamp Imprimir,NoValue,NoValue,,,
Outputs.LockDoorFront,Lock Front Door,Bloqueo Porton delantero,NoValue,NoValue,,,
Outputs.LockDoorBack,Lock Back Door,Bloqueo Porton trasero,NoValue,NoValue,,,
Outputs.ResetFanBreakers,Reset Fan Breakers,Reset Vetilador seccionad.,NoValue,NoValue,,,
Outputs.ResetHub,Reset Hub,Reset Hub,NoValue,NoValue,,,
Outputs.ResetSwitch,Reset Switch,Reiniciar Switch,NoValue,NoValue,,,
Outputs.CriticalError,Critical Error,Error Crítico,NoValue,NoValue,,,
Outpus.AlarmSound,Alarm Sound,Alarma sonora,NoValue,NoValue,,,
Outpus.YellowLight,Yellow light,Luz amarilla,NoValue,NoValue,,,
Outpus.BlueLight,Blue light,Luz azul,NoValue,NoValue,,,
Outpus.RedLight,Red light,Luz roja,NoValue,NoValue,,,
Outpus.WhiteLight,White light,Luz blanca,NoValue,NoValue,,,
Outpus.ResetBlueLight,Reset Blue light,Luz azul reset,NoValue,NoValue,,,
AnInputs.BoardTempIn,Board Temp In,Temp. Carton entrada,NoValue,NoValue,,,
AnInputs.BoardTempOut,Board Temp Out,Temp. Carton salida,NoValue,NoValue,,,
AnInputs.BeltTempOut,Belt Temp Out,Temp. Salida Banda,NoValue,NoValue,,,
AnInputs.Humidity,Humidity,Humedad,NoValue,NoValue,,,
AnInputs.VacuumPressure,Vacuum pressure,Presion vacio,NoValue,NoValue,,,
AnInputs.VacuumTemp2,Vacuum Temperature 2,Temperatura Vacio 2,NoValue,NoValue,,,
AnInputs.VacuumTemp1,Vacuum Temperature 1,Temperatura Vacio 1,NoValue,NoValue,,,
AnOuts.SpeedNir,Speed Nir,Velocidad Nir,NoValue,NoValue,,,
AnOuts.SpeedArcLamp,Speed Arc Lamp,Velocidad Arc Lamp,NoValue,NoValue,,,
TempInputs.SurfaceNir1,Surface Nir 1,Temp. Superficie Nir 1,NoValue,NoValue,,,
TempInputs.SurfaceNir2,Surface Nir 2,Temp. Superficie Nir 2,NoValue,NoValue,,,
,,,,,,,
Dialog.Confirmation,Confirmation,Confirmacion,NoValue,NoValue,,,
,,,,,,,
,,,,,,,
Dryer.Start,Start,Arrancar,NoValue,NoValue,,,
Dryer.Lab,Laboratory,Laboratorio,NoValue,NoValue,,,
Dryer.ByPass,ByPass,ByPass,NoValue,NoValue,,,
Dryer.Stop,Stop,Parar,NoValue,NoValue,,,
Dryer.Manual,Manual,Manual,NoValue,NoValue,,,
Dryer.Auto,Auto,Auto,NoValue,NoValue,,,
Dryer.Zero,Zero,Cero,NoValue,NoValue,,,
Dryer.Reset,Reset,Reset,NoValue,NoValue,,,
Dryer.Versions,Versions,Versiones,NoValue,NoValue,,,
Dryer.Hardware,Hardware,Hardware,NoValue,NoValue,,,
Dryer.Interface,Interface,Interfaz,NoValue,NoValue,,,
Dryer.Software,Software,Software,NoValue,NoValue,,,
Dryer.HMI,HMI,Terminal,NoValue,NoValue,,,
Dryer.Thickness,Thickness,Espesor,NoValue,NoValue,,,
Dryer.Margin,Margin,Margen,NoValue,NoValue,,,
Dryer.Length,Length,Longitud,NoValue,NoValue,,,
Dryer.Width,Width,Ancho,NoValue,NoValue,,,
Dryer.Gap,Gap,Separacion,NoValue,NoValue,,,
Dryer.Offset,Offset,Desplazamiento,NoValue,NoValue,,,
Dryer.DocLength,Doc Length,Longitud Doc.,NoValue,NoValue,,,
Dryer.DocWidth,Doc Width,Ancho Doc.,NoValue,NoValue,,,
Dryer.DocOffset,Doc Offset,Desplaz. Doc.,NoValue,NoValue,,,
Dryer.AirConditions,Air Conditions,Estado aire,NoValue,NoValue,,,
Dryer.Pressure,Pressure,Presion,NoValue,NoValue,,,
Dryer.DutyCycle,Duty Cycle,Ciclo Trabajo,NoValue,NoValue,,,
Dryer.Position,Position,Posicion,NoValue,NoValue,,,
,,,,,,,
,,,,,,,
Dryer.Nir.PositionOffset,Position Offset,Ajuste posicion,NoValue,NoValue,,,
